10726
/tmpVisionPJ/train_edges/10726.dat
0
6 2
107 34
107 171
60 12
55 164
53 50
60 82

10657
/tmpVisionPJ/train_edges/10657.dat
0
6 2
94 37
96 168
59 2
41 167
44 42
49 83

10240
/tmpVisionPJ/train_edges/10240.dat
0
6 2
122 60
125 193
84 26
73 195
66 44
70 111

10728
/tmpVisionPJ/train_edges/10728.dat
0
6 2
107 37
110 168
49 14
68 174
51 53
65 81

10771
/tmpVisionPJ/train_edges/10771.dat
0
6 2
71 41
72 165
52 11
27 154
35 36
42 86

10024
/tmpVisionPJ/train_edges/10024.dat
0
6 2
89 40
88 176
66 8
33 155
46 33
49 96

10252
/tmpVisionPJ/train_edges/10252.dat
0
6 2
93 36
94 170
45 13
36 171
36 52
45 79

10220
/tmpVisionPJ/train_edges/10220.dat
0
6 2
105 34
106 162
81 8
55 146
65 45
67 74

10092
/tmpVisionPJ/train_edges/10092.dat
0
6 2
80 40
86 173
44 7
34 158
29 39
39 93

10534
/tmpVisionPJ/train_edges/10534.dat
0
6 2
88 31
101 156
27 8
38 167
32 64
39 77

10155
/tmpVisionPJ/train_edges/10155.dat
0
6 2
88 43
85 180
68 9
35 164
46 36
49 92

10633
/tmpVisionPJ/train_edges/10633.dat
0
6 2
88 36
89 170
62 13
43 163
50 54
53 93

10526
/tmpVisionPJ/train_edges/10526.dat
0
6 2
92 42
94 165
56 7
44 165
45 32
47 89

10689
/tmpVisionPJ/train_edges/10689.dat
0
6 2
94 35
96 169
66 6
41 148
50 33
54 88

10796
/tmpVisionPJ/train_edges/10796.dat
0
6 2
103 53
102 167
59 12
51 161
64 50
72 97

10713
/tmpVisionPJ/train_edges/10713.dat
0
6 2
86 36
88 164
69 10
41 155
51 61
50 97

10437
/tmpVisionPJ/train_edges/10437.dat
0
6 2
79 38
81 166
33 10
36 180
33 55
35 84

10409
/tmpVisionPJ/train_edges/10409.dat
0
6 2
77 43
78 168
51 5
24 161
25 28
34 92

10501
/tmpVisionPJ/train_edges/10501.dat
0
6 2
77 44
80 158
39 18
31 149
30 31
40 89

10124
/tmpVisionPJ/train_edges/10124.dat
0
6 2
101 51
105 180
67 14
50 175
37 64
40 98

10031
/tmpVisionPJ/train_edges/10031.dat
0
6 2
91 44
90 180
29 16
38 183
38 59
42 93

10733
/tmpVisionPJ/train_edges/10733.dat
0
6 2
100 47
99 168
61 23
55 172
42 61
56 86

10162
/tmpVisionPJ/train_edges/10162.dat
0
6 2
113 55
112 191
91 20
60 179
68 48
77 110

10680
/tmpVisionPJ/train_edges/10680.dat
0
6 2
102 46
107 159
61 28
63 157
57 42
58 90

10163
/tmpVisionPJ/train_edges/10163.dat
0
6 2
91 53
98 182
68 22
47 175
51 45
60 106

10505
